index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
293,2513319,0.749028,27371,20629,48000,66944
294,2513279,0.749016,27537,20611,48148,67093
295,2513283,0.749017,27333,20611,47944,65907
296,2513351,0.749037,27407,20648,48055,67018
297,2513296,0.749021,27444,20611,48055,67000
298,2513326,0.749030,27408,20611,48019,66982
299,2513237,0.749003,27444,20556,48000,65963
300,2513316,0.749027,27388,20612,48000,66963
301,2513318,0.749027,27389,20648,48037,66999
302,2513332,0.749031,27408,20611,48019,65982
303,2513330,0.749031,27463,20593,48056,67000
304,2513297,0.749021,27445,20611,48056,67000
305,2513415,0.749056,27445,20703,48148,66092
306,2513330,0.749031,27351,20593,47944,66889
307,2513298,0.749021,27389,20611,48000,66926
308,2513302,0.749022,27463,20574,48037,65963
309,2513354,0.749038,27444,20611,48055,66981
310,2513360,0.749040,27370,20611,47981,66926
311,2513275,0.749014,27389,20611,48000,65963
312,2513280,0.749016,27444,20593,48037,66963
313,2513279,0.749016,27334,20611,47945,66889
314,2513252,0.749008,27426,20611,48037,66981
315,2513288,0.749018,27444,20593,48037,66000
316,2513282,0.749016,27426,20555,47981,66944
317,2513319,0.749028,27426,20629,48055,67037
318,2513267,0.749012,27407,20611,48018,65963
319,2513264,0.749011,27407,20574,47981,66907
320,2513313,0.749026,27444,20611,48055,67000
321,2513377,0.749045,27463,20611,48074,66019
322,2513313,0.749026,27389,20630,48019,66963
323,2513333,0.749032,27444,20611,48055,66981
324,2513278,0.749015,27462,20612,48074,66019
325,2513302,0.749022,27352,20723,48075,67000
326,2513340,0.749034,27740,22574,50314,68536
327,2513318,0.749027,27444,20519,47963,64908
328,2513237,0.749003,27352,20611,47963,66889
329,2513260,0.749010,27407,20574,47981,65925
330,2513276,0.749015,27445,20500,47945,66871
331,2513292,0.749019,27371,20685,48056,67000
332,2513326,0.749030,27407,20686,48093,67037
333,2513394,0.749050,27370,20555,47925,65888
334,2513384,0.749047,27426,20592,48018,66963
335,2513376,0.749045,27426,20611,48037,66982
336,2513366,0.749042,27426,20648,48074,66037
337,2513303,0.749023,27389,20574,47963,66907
338,2513242,0.749005,27352,20555,47907,66870
339,2513301,0.749022,27426,20611,48037,66000
340,2513248,0.749006,27407,20574,47981,66963
341,2513301,0.749022,27537,20611,48148,67093
342,2513314,0.749026,27426,20685,48111,66092
343,2513232,0.749002,27445,20648,48093,67056
344,2513245,0.749005,27445,20629,48074,67055
345,2513212,0.748996,27426,20555,47981,65944
346,2513259,0.749010,27445,20666,48111,67037
347,2513270,0.749013,27444,20648,48092,66037
348,2513261,0.749010,27444,20537,47981,66926
349,2513253,0.749008,27426,20537,47963,66889
350,2513298,0.749021,27407,20630,48037,67019
351,2513230,0.749001,27444,20593,48037,65981
352,2513222,0.748999,27352,20555,47907,66833
353,2513214,0.748996,27352,20574,47926,66889
354,2513179,0.748986,27352,20556,47908,66852
355,2513201,0.748992,27426,20629,48055,66018
356,2513263,0.749011,27370,20611,47981,66926
357,2513252,0.749008,27518,20575,48093,67056
358,2513257,0.749009,27370,20648,48018,66018
359,2513202,0.748993,27407,20537,47944,66870
360,2513195,0.748991,27444,20648,48092,67037
361,2513201,0.748992,27408,20555,47963,65926
362,2513210,0.748995,27444,20630,48074,67019
363,2513291,0.749019,27389,20611,48000,66962
364,2513246,0.749006,27463,20685,48148,66074
365,2513211,0.748995,27463,20648,48111,67074
366,2513133,0.748972,27445,20555,48000,66926
367,2513270,0.749013,27444,20556,48000,65982
368,2513253,0.749008,27352,20685,48037,66981
369,2513273,0.749014,27463,20574,48037,66963
370,2513261,0.749010,27444,20537,47981,65944
371,2513260,0.749010,27407,20574,47981,66926
372,2513158,0.748980,27444,20612,48056,66982
373,2513252,0.749008,27445,20629,48074,66999
374,2513225,0.749000,27407,20611,48018,66000
375,2513197,0.748991,27389,20592,47981,66926
